Movie_Name,Total_Dialogues,Total_Words,Positive_Emotion,Negative_Emotion,Overall_Vibe,Budget,Revenue,Is_Sequel,Holiday_Release,Genre,Is_A_Rated,Runtime,Director,Actors
Chup Chup Ke (tt0464160),3671,19536,0.116,0.102,1,12,25.5,0,0,"Comedy, Drama, Romance",0,164,"Priyadarshan, Kookie Gulati","Shahid Kapoor, Kareena Kapoor, Om Puri"
Cirkus (tt11112808),2938,13379,0.185,0.086,1,150,61.47,0,1,"Comedy, Drama",0,139,Rohit Shetty,"Ranveer Singh, Varun Sharma, Pooja Hegde"
CityLights (tt3709344),1646,7403,0.11,0.081,1,5,9,0,0,"Drama, Thriller",1,126,Hansal Mehta,"Rajkummar Rao, Patralekhaa Paul, Manav Kaul"
Class of  83 (tt10230422),1651,7791,0.121,0.127,-0.998,5,4,0,0,"Action, Crime, Drama",1,98,Atul Sabharwal,"Bobby Deol, Anup Soni, Joy Sengupta"
Cobalt Blue (tt15314640),362,1386,0.145,0.071,0.999,3,9,0,0,"Drama, Romance",1,112,Sachin Kundalkar,"Neelay Mehendale, Prateik Patil Babbar, Lovish Bhatia"
Cocktail (tt2168910),2556,11167,0.193,0.086,1,35,125.7,0,0,"Comedy, Drama, Romance",0,146,Homi Adajania,"Saif Ali Khan, Deepika Padukone, Diana Penty"
Code Name Abdul (tt6143092),1123,5172,0.15,0.123,0.999,3,0.7,0,0,"Crime, Thriller",0,114,Esh Gunturu,"Tanishaa Mukerji, Ashok Chaudhary, Akku Kulhari"
Code Name Tiranga (tt22099068),1312,5661,0.17,0.104,1,15,1.41,0,0,"Action, Drama, Thriller",0,137,Ribhu Dasgupta,"Parineeti Chopra, Harrdy Sandhu, Sharad Kelkar"
Coffee Bloom (tt3666258),1311,6198,0.138,0.108,1,6,0.47,0,0,Drama,0,90,Manu Warrier,"Arjun Mathur, Sugandha Garg, Ishwari Bose-Bhattacharya"
Coffee House (tt1967477),2521,12474,0.19,0.125,1,3,1,0,0,Drama,0,134,Gurbir Singh Grewal,"Ashutosh Rana, Sakshi Tanwar, Neha Mishra"
Coffee with D (tt6334874),3288,15301,0.157,0.099,1,8,0.72,0,0,Comedy,0,123,Vishal Mishra,"Sunil Grover, Zakir Hussain, Yugant Badri Pandey"
Collar Bomb (tt14922300),1417,5947,0.102,0.174,-1,5,0.5,0,0,"Action, Thriller",0,86,Dnyanesh Zoting,"Jimmy Shergill, Sparsh Shrivastava, Rajshri Deshpande"
Comedy Couple (tt12758600),2307,10724,0.142,0.113,1,3,0.15,0,0,"Comedy, Romance",0,117,Nachiket Samant,"Saqib Saleem, Shweta Basu Prasad, Pooja Bedi"
Commando 2 (tt5954088),2138,9134,0.132,0.117,0.998,26,39.06,1,0,"Action, Thriller",0,144,Deven Bhojani,"Vidyut Jammwal, Adah Sharma, Esha Gupta"
Commando 3 (tt8983168),1976,8159,0.11,0.118,-1,30,40.15,1,0,"Action, Adventure, Thriller",0,133,"Devang Desai, Aditya Datt","Gulshan Devaiah, Robin Chaudhary, Subhasish Ghosh"
Coolie No. 1 (tt10280276),2560,12975,0.101,0.081,1,3.5,21.22,0,1,"Action, Comedy, Romance",0,134,"David Dhawan, Sushma Sunam","Varun Dhawan, Sara Ali Khan, Paresh Rawal"
Court Martial (tt11774804),2264,9673,0.106,0.13,-1,1,0.5,0,0,Drama,0,120,"Sourabh Shrivastava, Karwarkar Bhavika","Saksham Dayma, Rajeev Khandelwal, Swapnill Kotriwar"
Crazxy (tt30798612),1424,6649,0.135,0.117,0.998,4,15,0,0,"Drama, Thriller",0,93,Girish Kohli,"Nimisha Sajayan, Shilpa Shukla, Sohum Shah"
Cuttputlli (tt15315164),2520,9967,0.147,0.128,0.999,150,135,0,0,"Crime, Drama, Mystery",0,120,Ranjit Tewari,"Akshay Kumar, Rakul Preet Singh, Sargun Mehta"
Daawat-e-Ishq (tt3398052),2773,11828,0.189,0.094,1,32,35.58,0,0,"Comedy, Drama, Romance",0,118,Habib Faisal,"Aditya Roy Kapoor, Parineeti Chopra, Anupam Kher"
